year,tas_anom_c,region
1850,-0.22531128,Arctic_60N_90N
1851,0.17532349,Arctic_60N_90N
1852,-0.123535156,Arctic_60N_90N
1853,0.16967773,Arctic_60N_90N
1854,0.41519165,Arctic_60N_90N
1855,0.7791443,Arctic_60N_90N
1856,0.7615967,Arctic_60N_90N
1857,0.2609558,Arctic_60N_90N
1858,0.20614624,Arctic_60N_90N
1859,0.5860596,Arctic_60N_90N
1860,0.22213745,Arctic_60N_90N
1861,0.81048584,Arctic_60N_90N
1862,0.6722107,Arctic_60N_90N
1863,0.9880371,Arctic_60N_90N
1864,0.46255493,Arctic_60N_90N
1865,0.41516113,Arctic_60N_90N
1866,0.20559692,Arctic_60N_90N
1867,1.0805664,Arctic_60N_90N
1868,1.0540771,Arctic_60N_90N
1869,0.8564148,Arctic_60N_90N
1870,0.0011901855,Arctic_60N_90N
1871,0.5312195,Arctic_60N_90N
1872,0.6937866,Arctic_60N_90N
1873,0.5933838,Arctic_60N_90N
1874,0.62319946,Arctic_60N_90N
1875,0.04824829,Arctic_60N_90N
1876,-0.1105957,Arctic_60N_90N
1877,0.28424072,Arctic_60N_90N
1878,0.15393066,Arctic_60N_90N
1879,-0.2697754,Arctic_60N_90N
1880,-0.8508911,Arctic_60N_90N
1881,-0.25106812,Arctic_60N_90N
1882,-0.92297363,Arctic_60N_90N
1883,0.006225586,Arctic_60N_90N
1884,-0.76208496,Arctic_60N_90N
1885,-1.035614,Arctic_60N_90N
1886,-0.6128845,Arctic_60N_90N
1887,-0.67129517,Arctic_60N_90N
1888,-0.15887451,Arctic_60N_90N
1889,-0.15219116,Arctic_60N_90N
1890,-1.0378418,Arctic_60N_90N
1891,-0.7052002,Arctic_60N_90N
1892,-1.1898804,Arctic_60N_90N
1893,-1.1791687,Arctic_60N_90N
1894,-1.3460693,Arctic_60N_90N
1895,-0.7836304,Arctic_60N_90N
1896,-0.99139404,Arctic_60N_90N
1897,-0.22042847,Arctic_60N_90N
1898,0.024810791,Arctic_60N_90N
1899,0.53619385,Arctic_60N_90N
1900,-0.017486572,Arctic_60N_90N
1901,0.13903809,Arctic_60N_90N
1902,0.080200195,Arctic_60N_90N
1903,-0.3932495,Arctic_60N_90N
1904,-0.10873413,Arctic_60N_90N
1905,0.19866943,Arctic_60N_90N
1906,0.8831787,Arctic_60N_90N
1907,1.4128418,Arctic_60N_90N
1908,0.41967773,Arctic_60N_90N
1909,-0.088409424,Arctic_60N_90N
1910,-0.053955078,Arctic_60N_90N
1911,0.91381836,Arctic_60N_90N
1912,0.7005005,Arctic_60N_90N
1913,-0.3741455,Arctic_60N_90N
1914,-0.13098145,Arctic_60N_90N
1915,-0.7438965,Arctic_60N_90N
1916,-0.36849976,Arctic_60N_90N
1917,0.3538208,Arctic_60N_90N
1918,0.171875,Arctic_60N_90N
1919,0.07144165,Arctic_60N_90N
1920,-0.5257263,Arctic_60N_90N
1921,0.66152954,Arctic_60N_90N
1922,0.19302368,Arctic_60N_90N
1923,-0.2824707,Arctic_60N_90N
1924,0.14389038,Arctic_60N_90N
1925,-0.20562744,Arctic_60N_90N
1926,0.5767212,Arctic_60N_90N
1927,0.87854004,Arctic_60N_90N
1928,1.4790955,Arctic_60N_90N
1929,1.4458008,Arctic_60N_90N
1930,1.0701904,Arctic_60N_90N
1931,0.9046936,Arctic_60N_90N
1932,1.1279907,Arctic_60N_90N
1933,0.81427,Arctic_60N_90N
1934,-0.1894226,Arctic_60N_90N
1935,0.9688721,Arctic_60N_90N
1936,1.5002441,Arctic_60N_90N
1937,1.3551636,Arctic_60N_90N
1938,0.7147522,Arctic_60N_90N
1939,1.4006958,Arctic_60N_90N
1940,0.39596558,Arctic_60N_90N
1941,0.5778198,Arctic_60N_90N
1942,0.62667847,Arctic_60N_90N
1943,0.6035156,Arctic_60N_90N
1944,0.9036865,Arctic_60N_90N
1945,0.8748779,Arctic_60N_90N
1946,0.43563843,Arctic_60N_90N
1947,1.4523315,Arctic_60N_90N
1948,0.82928467,Arctic_60N_90N
1949,0.76086426,Arctic_60N_90N
1950,-0.18850708,Arctic_60N_90N
1951,0.45333862,Arctic_60N_90N
1952,1.3297119,Arctic_60N_90N
1953,1.4928589,Arctic_60N_90N
1954,1.3649292,Arctic_60N_90N
1955,1.4088745,Arctic_60N_90N
1956,1.3925781,Arctic_60N_90N
1957,1.0289307,Arctic_60N_90N
1958,1.1533813,Arctic_60N_90N
1959,0.69055176,Arctic_60N_90N
1960,0.75164795,Arctic_60N_90N
1961,1.4020996,Arctic_60N_90N
1962,0.8300476,Arctic_60N_90N
