year,anom_c,hemisphere
1850,7.3169426e-06,Northern
1851,-4.677539e-06,Northern
1852,-1.9479687e-05,Northern
1853,-2.4326526e-05,Northern
1854,-4.907111e-06,Northern
1855,-2.2782706e-05,Northern
1856,-2.5452768e-05,Northern
1857,-3.2176762e-05,Northern
1858,-1.6073254e-05,Northern
1859,-1.7160533e-05,Northern
1860,-7.581635e-06,Northern
1861,1.5388383e-06,Northern
1862,-1.0256754e-05,Northern
1863,1.9105339e-05,Northern
1864,-3.6411511e-06,Northern
1865,1.681406e-05,Northern
1866,-2.4994699e-05,Northern
1867,1.343057e-07,Northern
1868,-1.1791682e-05,Northern
1869,-1.3958391e-05,Northern
1870,1.12135085e-05,Northern
1871,1.0340529e-05,Northern
1872,-2.1871421e-05,Northern
1873,-6.604899e-06,Northern
1874,1.6315802e-06,Northern
1875,1.3183676e-05,Northern
1876,1.00214065e-05,Northern
1877,-1.9325113e-05,Northern
1878,1.573089e-05,Northern
1879,-8.24585e-06,Northern
1880,3.8764145e-05,Northern
1881,1.9017103e-05,Northern
1882,8.75852e-06,Northern
1883,3.6555324e-05,Northern
1884,8.491825e-06,Northern
1885,1.0903813e-05,Northern
1886,1.421099e-05,Northern
1887,-3.9266793e-06,Northern
1888,7.3998676e-06,Northern
1889,-1.3832818e-05,Northern
1890,1.1575867e-07,Northern
1891,-1.2311383e-05,Northern
1892,-6.566201e-06,Northern
1893,-6.799745e-06,Northern
1894,2.225727e-06,Northern
1895,1.2873455e-05,Northern
1896,3.205165e-05,Northern
1897,-6.657472e-06,Northern
1898,-5.3596727e-06,Northern
1899,2.1041842e-05,Northern
1900,3.132166e-05,Northern
1901,1.5219961e-05,Northern
1902,1.8128914e-06,Northern
1903,1.3272594e-05,Northern
1904,4.3644424e-05,Northern
1905,6.7398764e-06,Northern
1906,-3.2140808e-06,Northern
1907,-1.4717419e-06,Northern
1908,3.7125608e-06,Northern
1909,2.7977403e-06,Northern
1910,2.1241382e-05,Northern
1911,6.7016863e-06,Northern
1912,1.0546234e-05,Northern
1913,2.5464644e-05,Northern
1914,6.880878e-06,Northern
1915,3.3665263e-05,Northern
1916,2.0637117e-05,Northern
1917,2.0767608e-05,Northern
1918,2.5943336e-05,Northern
1919,2.9795798e-05,Northern
1920,3.311589e-05,Northern
1921,2.9870544e-05,Northern
1922,2.1106054e-05,Northern
1923,2.8625209e-05,Northern
1924,1.3711604e-05,Northern
1925,-2.7066963e-06,Northern
1926,1.6750855e-05,Northern
1927,2.3042763e-05,Northern
1928,3.4482313e-05,Northern
1929,4.3091462e-05,Northern
1930,3.0468582e-05,Northern
1931,2.7664604e-05,Northern
1932,1.285724e-05,Northern
1933,6.474358e-06,Northern
1934,2.732745e-05,Northern
1935,1.756819e-05,Northern
1936,3.656273e-05,Northern
1937,1.5132066e-05,Northern
1938,2.5609e-05,Northern
1939,1.1319634e-05,Northern
1940,1.638874e-05,Northern
1941,2.133304e-05,Northern
1942,4.6720984e-06,Northern
1943,5.0235587e-05,Northern
1944,4.885158e-05,Northern
1945,3.7106962e-05,Northern
1946,4.2564207e-05,Northern
1947,5.543644e-05,Northern
1948,4.5052304e-05,Northern
1949,5.4158096e-05,Northern
1950,1.9229465e-05,Northern
1951,3.0090065e-05,Northern
1952,3.837098e-05,Northern
1953,2.1104022e-05,Northern
1954,3.4575303e-05,Northern
1955,3.2606302e-05,Northern
1956,2.595459e-05,Northern
1957,2.1243548e-05,Northern
1958,5.2640113e-05,Northern
1959,7.951935e-06,Northern
1960,1.4134792e-05,Northern
1961,1.1386248e-05,Northern
1962,2.7450702e-05,Northern
1963,2.7427684e-05,Northern
1964,2.3023547e-05,Northern
1965,1.5089675e-05,Northern
1966,2.5898038e-05,Northern
1967,4.7890604e-05,Northern
1968,3.4609413e-05,Northern
1969,4.8744307e-05,Northern
1970,3.737152e-05,Northern
1971,2.0740941e-05,Northern
1972,2.30117e-05,Northern
1973,3.0998945e-05,Northern
1974,2.313366e-05,Northern
1975,4.5261917e-05,Northern
1976,4.3995726e-05,Northern
1977,6.686412e-05,Northern
1978,6.412075e-05,Northern
1979,4.8506376e-05,Northern
1980,4.1287392e-05,Northern
1981,6.714519e-05,Northern
1982,6.0210372e-05,Northern
1983,3.96826e-05,Northern
1984,4.5296012e-05,Northern
1985,1.5128021e-05,Northern
1986,3.4203706e-05,Northern
1987,1.6386623e-05,Northern
1988,2.6341067e-05,Northern
1989,4.8301838e-05,Northern
1990,6.510984e-05,Northern
1991,2.0680027e-05,Northern
1992,4.6428788e-05,Northern
1993,6.872726e-05,Northern
1994,5.573624e-05,Northern
1995,4.968344e-05,Northern
1996,6.579102e-05,Northern
1997,6.312466e-05,Northern
1998,4.9547143e-05,Northern
1999,2.9772471e-05,Northern
2000,4.5276596e-05,Northern
2001,5.7791898e-05,Northern
2002,4.88959e-05,Northern
2003,6.216879e-05,Northern
2004,8.0182566e-05,Northern
2005,5.1634503e-05,Northern
2006,4.6811158e-05,Northern
2007,5.9594717e-05,Northern
2008,7.235676e-05,Northern
2009,3.436783e-05,Northern
2010,4.431183e-05,Northern
2011,5.679129e-05,Northern
2012,6.0909922e-05,Northern
2013,5.7820114e-05,Northern
2014,6.674206e-05,Northern
1850,-7.789844e-06,Southern
1851,6.2042795e-06,Southern
1852,6.8872637e-06,Southern
1853,-1.13812175e-05,Southern
1854,-1.4881055e-05,Southern
1855,-1.0562585e-05,Southern
1856,-6.454684e-06,Southern
1857,-1.3727535e-05,Southern
1858,-3.8174235e-06,Southern
1859,1.702213e-05,Southern
1860,7.2092807e-06,Southern
1861,-2.9607788e-06,Southern
1862,3.4391414e-06,Southern
