date,region,anom_c
1850-01,Global,-0.78225803
1850-02,Global,-0.6882582
1850-03,Global,-0.6959715
1850-04,Global,-0.5754633
1850-05,Global,-0.46674442
1850-06,Global,-0.49900627
1850-07,Global,-0.48645973
1850-08,Global,-0.634367
1850-09,Global,-0.57041264
1850-10,Global,-0.4398203
1850-11,Global,-0.42603016
1850-12,Global,-0.60913086
1851-01,Global,-0.37347507
1851-02,Global,-0.43722057
1851-03,Global,-0.5471678
1851-04,Global,-0.42922306
1851-05,Global,-0.35062504
1851-06,Global,-0.2703991
1851-07,Global,-0.42188454
1851-08,Global,-0.49764824
1851-09,Global,-0.49503422
1851-10,Global,-0.55020237
1851-11,Global,-0.72113514
1851-12,Global,-0.6843567
1852-01,Global,-0.6761179
1852-02,Global,-0.9186964
1852-03,Global,-0.87434673
1852-04,Global,-0.63561344
1852-05,Global,-0.69785404
1852-06,Global,-0.54444695
1852-07,Global,-0.644907
1852-08,Global,-0.5000286
1852-09,Global,-0.5849695
1852-10,Global,-0.55917454
1852-11,Global,-0.5198717
1852-12,Global,-0.5708313
1853-01,Global,-0.81668186
1853-02,Global,-0.589839
1853-03,Global,-0.7345457
1853-04,Global,-0.5890131
1853-05,Global,-0.6659937
1853-06,Global,-0.46247673
1853-07,Global,-0.6051426
1853-08,Global,-0.7017498
1853-09,Global,-0.6100855
1853-10,Global,-0.52951145
1853-11,Global,-0.7001085
1853-12,Global,-0.68688965
1854-01,Global,-0.60360813
1854-02,Global,-0.7895155
1854-03,Global,-0.7348814
1854-04,Global,-0.6740351
1854-05,Global,-0.4250269
1854-06,Global,-0.60520744
1854-07,Global,-0.6054783
1854-08,Global,-0.80322075
1854-09,Global,-0.768136
1854-10,Global,-0.6715708
1854-11,Global,-0.6851549
1854-12,Global,-0.77941895
1855-01,Global,-1.085969
1855-02,Global,-1.0275526
1855-03,Global,-0.99882793
1855-04,Global,-0.80678654
1855-05,Global,-0.6460047
1855-06,Global,-0.7122936
1855-07,Global,-0.8049412
1855-08,Global,-0.7712078
1855-09,Global,-0.6861963
1855-10,Global,-0.6530466
1855-11,Global,-0.9070482
1855-12,Global,-0.79953
1856-01,Global,-0.8184519
1856-02,Global,-1.023097
1856-03,Global,-0.87279034
1856-04,Global,-0.7996454
1856-05,Global,-0.7071619
1856-06,Global,-0.5191784
1856-07,Global,-0.5443821
1856-08,Global,-0.64037895
1856-09,Global,-0.6446314
1856-10,Global,-0.62204075
1856-11,Global,-0.57394886
1856-12,Global,-0.6178589
1857-01,Global,-0.6835947
1857-02,Global,-0.5549879
1857-03,Global,-0.7053709
1857-04,Global,-0.72866154
1857-05,Global,-0.59473515
1857-06,Global,-0.43357658
1857-07,Global,-0.39798927
1857-08,Global,-0.64871025
1857-09,Global,-0.5555506
1857-10,Global,-0.55783176
1857-11,Global,-0.66629505
1857-12,Global,-0.7209778
1858-01,Global,-0.906312
1858-02,Global,-0.90346813
1858-03,Global,-1.0654783
1858-04,Global,-0.73531437
1858-05,Global,-0.61695194
1858-06,Global,-0.4747448
1858-07,Global,-0.5579624
1858-08,Global,-0.64401054
1858-09,Global,-0.7140589
1858-10,Global,-0.7082529
1858-11,Global,-0.7330065
1858-12,Global,-0.7407532
1859-01,Global,-0.72189426
1859-02,Global,-0.85329723
1859-03,Global,-0.6652403
1859-04,Global,-0.59050846
1859-05,Global,-0.49424076
1859-06,Global,-0.44120598
1859-07,Global,-0.5294285
1859-08,Global,-0.48626518
1859-09,Global,-0.426095
1859-10,Global,-0.579072
1859-11,Global,-0.5472765
1859-12,Global,-0.6144104
1860-01,Global,-0.44128513
1860-02,Global,-0.3593397
1860-03,Global,-0.4564085
1860-04,Global,-0.46672916
1860-05,Global,-0.3507471
1860-06,Global,-0.33164787
1860-07,Global,-0.37937355
1860-08,Global,-0.55737114
1860-09,Global,-0.45465946
1860-10,Global,-0.54739475
1860-11,Global,-0.5695238
1860-12,Global,-0.67193604
1861-01,Global,-0.585145
1861-02,Global,-0.7492018
1861-03,Global,-0.7371092
1861-04,Global,-0.78719425
1861-05,Global,-0.5445337
1861-06,Global,-0.34205437
1861-07,Global,-0.51807594
1861-08,Global,-0.4812603
1861-09,Global,-0.5238733
1861-10,Global,-0.47399998
1861-11,Global,-0.6632738
1861-12,Global,-0.697937
1862-01,Global,-0.32071018
1862-02,Global,-0.35277843
1862-03,Global,-0.49540997
1862-04,Global,-0.54271793
1862-05,Global,-0.5550928
1862-06,Global,-0.55918694
1862-07,Global,-0.5763645
1862-08,Global,-0.3892498
1862-09,Global,-0.33313847
1862-10,Global,-0.40521336
1862-11,Global,-0.43140125
1862-12,Global,-0.3666687
1863-01,Global,-0.6776438
1863-02,Global,-0.4355421
1863-03,Global,-0.6597166
1863-04,Global,-0.5777216
1863-05,Global,-0.4114771
1863-06,Global,-0.32157707
1863-07,Global,-0.2903843
1863-08,Global,-0.37353325
1863-09,Global,-0.4901209
1863-10,Global,-0.32528782
1863-11,Global,-0.4327135
1863-12,Global,-0.5755615
1864-01,Global,-0.5547495
1864-02,Global,-0.46828747
1864-03,Global,-0.6518431
1864-04,Global,-0.47673893
1864-05,Global,-0.3547449
1864-06,Global,-0.27992058
1864-07,Global,-0.45108986
1864-08,Global,-0.4566021
1864-09,Global,-0.5048914
1864-10,Global,-0.45349216
1864-11,Global,-0.528203
1864-12,Global,-0.55184937
1865-01,Global,-0.82708836
1865-02,Global,-0.6404066
1865-03,Global,-0.6541014
1865-04,Global,-0.6256952
1865-05,Global,-0.55967045
1865-06,Global,-0.44135857
1865-07,Global,-0.5208225
1865-08,Global,-0.5798321
1865-09,Global,-0.50931644
1865-10,Global,-0.4578867
1865-11,Global,-0.559453
1865-12,Global,-0.591095
1866-01,Global,-0.44146824
1866-02,Global,-0.5217848
1866-03,Global,-0.4313841
1866-04,Global,-0.36077213
1866-05,Global,-0.38263798
1866-06,Global,-0.4872265
1866-07,Global,-0.47919655
1866-08,Global,-0.52929497
1866-09,Global,-0.5618372
1866-10,Global,-0.5056467
1866-11,Global,-0.6491442
1866-12,Global,-0.59198
1867-01,Global,-0.50991917
1867-02,Global,-0.66475964
1867-03,Global,-0.8933897
1867-04,Global,-0.57067204
1867-05,Global,-0.6101465
1867-06,Global,-0.47794914
1867-07,Global,-0.60196877
1867-08,Global,-0.5833416
1867-09,Global,-0.6463709
1867-10,Global,-0.6712351
1867-11,Global,-0.73871326
1867-12,Global,-0.72702026
1868-01,Global,-0.7672739
1868-02,Global,-0.8098402
1868-03,Global,-0.82799053
1868-04,Global,-0.5921869
1868-05,Global,-0.61728764
1868-06,Global,-0.5829296
1868-07,Global,-0.70786476
1868-08,Global,-0.65893364
1868-09,Global,-0.6945276
1868-10,Global,-0.7356272
1868-11,Global,-0.72998524
1868-12,Global,-0.66192627
1869-01,Global,-0.7605295
1869-02,Global,-0.7076063
1869-03,Global,-0.87163067
1869-04,Global,-0.62053776
1869-05,Global,-0.46753788
1869-06,Global,-0.43580437
1869-07,Global,-0.6329441
1869-08,Global,-0.49014091
1869-09,Global,-0.6036768
1869-10,Global,-0.6353159
1869-11,Global,-0.64578724
1869-12,Global,-0.72979736
1870-01,Global,-0.4679575
1870-02,Global,-0.72783947
1870-03,Global,-0.9067259
1870-04,Global,-0.7962885
1870-05,Global,-0.6392603
1870-06,Global,-0.55940056
1870-07,Global,-0.7239475
1870-08,Global,-0.5413799
1870-09,Global,-0.66751957
1870-10,Global,-0.79547215
1870-11,Global,-0.71213245
1870-12,Global,-0.71829224
1871-01,Global,-0.8123789
1871-02,Global,-0.6798048
1871-03,Global,-0.7308531
1871-04,Global,-0.630456
1871-05,Global,-0.6297693
1871-06,Global,-0.5724926
1871-07,Global,-0.6999302
1871-08,Global,-0.6260052
1871-09,Global,-0.5489588
1871-10,Global,-0.6195383
1871-11,Global,-0.5944567
1871-12,Global,-0.62719727
1872-01,Global,-0.40811253
1872-02,Global,-0.55333996
1872-03,Global,-0.47871685
1872-04,Global,-0.50161076
1872-05,Global,-0.4257288
1872-06,Global,-0.32349968
1872-07,Global,-0.37952614
1872-08,Global,-0.48760796
1872-09,Global,-0.43995
1872-10,Global,-0.3315134
1872-11,Global,-0.31857777
1872-12,Global,-0.30673218
1873-01,Global,-0.38366795
1873-02,Global,-0.44381237
1873-03,Global,-0.34678936
1873-04,Global,-0.4421625
1873-05,Global,-0.30326176
1873-06,Global,-0.2065258
1873-07,Global,-0.3831272
1873-08,Global,-0.50042534
1873-09,Global,-0.42478275
1873-10,Global,-0.47461033
1873-11,Global,-0.7938585
1873-12,Global,-0.7459717
1874-01,Global,-0.6176157
1874-02,Global,-0.910182
1874-03,Global,-0.83442974
1874-04,Global,-0.8030634
1874-05,Global,-0.6189966
1874-06,Global,-0.5489025
1874-07,Global,-0.7481785
1874-08,Global,-0.6516094
1874-09,Global,-0.60465336
1874-10,Global,-0.6540842
1874-11,Global,-0.5550585
1874-12,Global,-0.5586548
1875-01,Global,-0.81668186
1875-02,Global,-0.611598
1875-03,Global,-0.8458433
1875-04,Global,-0.4476862
1875-05,Global,-0.3797388
1875-06,Global,-0.5056286
1875-07,Global,-0.41459084
1875-08,Global,-0.6755657
1875-09,Global,-0.62891483
1875-10,Global,-0.51525974
1875-11,Global,-0.7155504
1875-12,Global,-0.7027283
1876-01,Global,-0.7662058
1876-02,Global,-1.0133619
1876-03,Global,-0.84749126
1876-04,Global,-0.5327997
1876-05,Global,-0.41797733
1876-06,Global,-0.49589348
1876-07,Global,-0.77814674
1876-08,Global,-0.7314129
1876-09,Global,-0.6753931
1876-10,Global,-0.51596165
1876-11,Global,-0.66144276
1876-12,Global,-0.739563
1877-01,Global,-0.67532444
1877-02,Global,-0.7776747
1877-03,Global,-0.5885191
1877-04,Global,-0.6266718
1877-05,Global,-0.56855106
1877-06,Global,-0.5702038
1877-07,Global,-0.618906
1877-08,Global,-0.4760723
1877-09,Global,-0.43158817
1877-10,Global,-0.4007883
1877-11,Global,-0.49905872
1877-12,Global,-0.5786743
1878-01,Global,-0.7436533
1878-02,Global,-0.8395338
1878-03,Global,-0.63270855
1878-04,Global,-0.56533146
1878-05,Global,-0.4526453
1878-06,Global,-0.4216442
1878-07,Global,-0.430521
1878-08,Global,-0.535429
1878-09,Global,-0.56574345
1878-10,Global,-0.3566599
1878-11,Global,-0.5235033
1878-12,Global,-0.47555542
1879-01,Global,-0.5286875
1879-02,Global,-0.39306164
1879-03,Global,-0.3577757
1879-04,Global,-0.4009943
1879-05,Global,-0.36905766
1879-06,Global,-0.34910393
1879-07,Global,-0.5418186
1879-08,Global,-0.48901176
1879-09,Global,-0.40519047
1879-10,Global,-0.5306406
1879-11,Global,-0.7501879
1879-12,Global,-0.705719
1880-01,Global,-0.6776743
1880-02,Global,-0.6152296
1880-03,Global,-0.5534544
1880-04,Global,-0.5619135
1880-05,Global,-0.2519617
1880-06,Global,-0.23560905
1880-07,Global,-0.4233799
1880-08,Global,-0.51553154
1880-09,Global,-0.3700037
1880-10,Global,-0.25351048
1880-11,Global,-0.37552357
1880-12,Global,-0.26315308
1881-01,Global,-0.3539133
1881-02,Global,-0.42919445
1881-03,Global,-0.44432354
1881-04,Global,-0.42974186
1881-05,Global,-0.46680546
1881-06,Global,-0.51600456
1881-07,Global,-0.60260963
1881-08,Global,-0.64071465
1881-09,Global,-0.462533
1881-10,Global,-0.68142796
1881-11,Global,-0.85309315
1881-12,Global,-0.9373779
1882-01,Global,-0.8729563
1882-02,Global,-0.8514967
1882-03,Global,-0.83272076
1882-04,Global,-0.76097965
1882-05,Global,-0.7566309
1882-06,Global,-0.75919914
1882-07,Global,-0.80610085
1882-08,Global,-0.8194256
1882-09,Global,-0.82407475
1882-10,Global,-0.8686228
1882-11,Global,-0.8786974
1882-12,Global,-0.73373413
1883-01,Global,-0.64880466
1883-02,Global,-0.76375866
1883-03,Global,-0.74779034
1883-04,Global,-0.46083927
1883-05,Global,-0.3814783
1883-06,Global,-0.4025097
1883-07,Global,-0.5915623
1883-08,Global,-0.6621685
1883-09,Global,-0.59992313
1883-10,Global,-0.6917429
1883-11,Global,-0.7146044
1883-12,Global,-0.895813
1884-01,Global,-0.7858896
1884-02,Global,-0.7368727
1884-03,Global,-0.69417095
1884-04,Global,-0.7974787
1884-05,Global,-0.6542444
1884-06,Global,-0.6924572
1884-07,Global,-0.68223
1884-08,Global,-0.71175957
1884-09,Global,-0.6086817
1884-10,Global,-0.5462351
1884-11,Global,-0.66473866
1884-12,Global,-0.73635864
1885-01,Global,-0.78021336
1885-02,Global,-0.8351698
1885-03,Global,-1.045886
1885-04,Global,-0.85958195
1885-05,Global,-0.7127466
1885-06,Global,-0.73524284
1885-07,Global,-0.74827003
1885-08,Global,-0.8779278
1885-09,Global,-0.84784794
1885-10,Global,-0.84707737
1885-11,Global,-0.8566942
1885-12,Global,-0.9887085
1886-01,Global,-1.1013193
1886-02,Global,-1.0209303
1886-03,Global,-0.9258299
1886-04,Global,-0.6657343
1886-05,Global,-0.63138676
1886-06,Global,-0.52100945
1886-07,Global,-0.695261
1886-08,Global,-0.93777275
1886-09,Global,-0.6425257
1886-10,Global,-0.60211277
1886-11,Global,-0.89166737
1886-12,Global,-1.0787048
1887-01,Global,-0.8888254
1887-02,Global,-0.7978163
1887-03,Global,-0.6714964
1887-04,Global,-0.6907892
1887-05,Global,-0.5590601
1887-06,Global,-0.5894909
1887-07,Global,-0.5293064
1887-08,Global,-0.48895073
1887-09,Global,-0.47898197
1887-10,Global,-0.6361704
1887-11,Global,-0.70065784
1887-12,Global,-0.5562744
1888-01,Global,-0.4682932
1888-02,Global,-0.5541334
1888-03,Global,-0.622241
1888-04,Global,-0.47240543
1888-05,Global,-0.5083704
1888-06,Global,-0.44477654
1888-07,Global,-0.5523472
1888-08,Global,-0.5840435
1888-09,Global,-0.62650394
1888-10,Global,-0.68539524
1888-11,Global,-0.5901842
1888-12,Global,-0.92666626
1889-01,Global,-0.8895273
1889-02,Global,-0.9205885
1889-03,Global,-0.93965435
1889-04,Global,-0.89220524
1889-05,Global,-0.8511133
1889-06,Global,-0.688673
1889-07,Global,-0.8417759
1889-08,Global,-0.8058758
1889-09,Global,-0.70533085
1889-10,Global,-0.83160496
1889-11,Global,-0.82754993
1889-12,Global,-0.9826355
1890-01,Global,-0.6842966
1890-02,Global,-0.82192516
1890-03,Global,-0.7685118
1890-04,Global,-0.7405329
1890-05,Global,-0.74475956
1890-06,Global,-0.61616325
1890-07,Global,-0.630991
1890-08,Global,-0.8000164
1890-09,Global,-0.55362797
1890-10,Global,-0.63748264
1890-11,Global,-0.6626024
1890-12,Global,-0.8169861
1891-01,Global,-0.73416233
1891-02,Global,-0.90902233
1891-03,Global,-0.6578245
1891-04,Global,-0.4860773
