lat,lon,temp_c
-90.0,0.0,-47.2615
-90.0,2.5,-47.38886
-90.0,5.0,-47.412838
-90.0,7.5,-47.412838
-90.0,10.0,-47.412838
-90.0,12.5,-47.412838
-90.0,15.0,-47.412838
-90.0,17.5,-47.412846
-90.0,20.0,-47.431885
-90.0,22.5,-47.50887
-90.0,25.0,-47.574413
-90.0,27.5,-47.62433
-90.0,30.0,-47.73942
-90.0,32.5,-47.93471
-90.0,35.0,-47.937195
-90.0,37.5,-47.94081
-90.0,40.0,-47.942123
-90.0,42.5,-47.96001
-90.0,45.0,-48.12826
-90.0,47.5,-48.196148
-90.0,50.0,-48.231262
-90.0,52.5,-48.288982
-90.0,55.0,-48.364613
-90.0,57.5,-48.400646
-90.0,60.0,-48.41957
-90.0,62.5,-48.425262
-90.0,65.0,-48.425262
-90.0,67.5,-48.41156
-90.0,70.0,-48.39475
-90.0,72.5,-48.369884
-90.0,75.0,-48.344654
-90.0,77.5,-48.314396
-90.0,80.0,-48.28534
-90.0,82.5,-48.26306
-90.0,85.0,-48.2439
-90.0,87.5,-48.22877
-90.0,90.0,-48.216206
-90.0,92.5,-48.205006
-90.0,95.0,-48.193615
-90.0,97.5,-48.190815
-90.0,100.0,-48.18344
-90.0,102.5,-48.181416
-90.0,105.0,-48.182537
-90.0,107.5,-48.189877
-90.0,110.0,-48.201096
-90.0,112.5,-48.21193
-90.0,115.0,-48.22388
-90.0,117.5,-48.244488
-90.0,120.0,-48.2793
-90.0,122.5,-48.30775
-90.0,125.0,-48.348576
-90.0,127.5,-48.39092
-90.0,130.0,-48.4102
-90.0,132.5,-48.414692
-90.0,135.0,-48.4154
-90.0,137.5,-48.417164
-90.0,140.0,-48.419006
-90.0,142.5,-48.417465
-90.0,145.0,-48.414593
-90.0,147.5,-48.410694
-90.0,150.0,-48.407795
-90.0,152.5,-48.40497
-90.0,155.0,-48.435535
-90.0,157.5,-48.48174
-90.0,160.0,-48.507893
-90.0,162.5,-48.523228
-90.0,165.0,-48.521893
-90.0,167.5,-48.515472
-90.0,170.0,-48.501205
-90.0,172.5,-48.482758
-90.0,175.0,-48.448338
-90.0,177.5,-48.401073
-90.0,180.0,-48.338467
-90.0,182.5,-48.27939
-90.0,185.0,-48.242233
-90.0,187.5,-48.188175
-90.0,190.0,-48.12741
-90.0,192.5,-48.063976
-90.0,195.0,-48.005737
-90.0,197.5,-47.952457
-90.0,200.0,-47.913864
-90.0,202.5,-47.909542
-90.0,205.0,-47.907776
-90.0,207.5,-47.903717
-90.0,210.0,-47.90066
-90.0,212.5,-47.900116
-90.0,215.0,-47.900066
-90.0,217.5,-47.896046
-90.0,220.0,-47.890118
-90.0,222.5,-47.88558
-90.0,225.0,-47.879505
-90.0,227.5,-47.871723
-90.0,230.0,-47.8589
-90.0,232.5,-47.83305
-90.0,235.0,-47.70326
-90.0,237.5,-47.520824
-90.0,240.0,-47.469418
-90.0,242.5,-47.45105
-90.0,245.0,-47.45181
-90.0,247.5,-47.454086
-90.0,250.0,-47.462673
-90.0,252.5,-47.473663
-90.0,255.0,-47.47743
-90.0,257.5,-47.432056
-90.0,260.0,-47.412838
-90.0,262.5,-47.412838
-90.0,265.0,-47.412838
-90.0,267.5,-47.412838
-90.0,270.0,-47.412846
-90.0,272.5,-47.30493
-90.0,275.0,-47.235973
-90.0,277.5,-47.21104
-90.0,280.0,-47.182404
-90.0,282.5,-47.16693
-90.0,285.0,-47.151188
-90.0,287.5,-47.13805
-90.0,290.0,-47.12588
-90.0,292.5,-47.11687
-90.0,295.0,-47.106136
-90.0,297.5,-47.0982
-90.0,300.0,-47.092102
-90.0,302.5,-47.08772
-90.0,305.0,-47.08054
-90.0,307.5,-47.075943
-90.0,310.0,-47.073666
-90.0,312.5,-47.072056
-90.0,315.0,-47.071552
-90.0,317.5,-47.074703
-90.0,320.0,-47.07924
-90.0,322.5,-47.08742
-90.0,325.0,-47.098236
-90.0,327.5,-47.11324
-90.0,330.0,-47.138844
-90.0,332.5,-47.16409
-90.0,335.0,-47.187313
-90.0,337.5,-47.20814
-90.0,340.0,-47.213074
-90.0,342.5,-47.214466
-90.0,345.0,-47.216976
-90.0,347.5,-47.2106
-90.0,350.0,-47.21549
-90.0,352.5,-47.21909
-90.0,355.0,-47.2223
-90.0,357.5,-47.23396
-88.10526315789474,0.0,-47.34141
-88.10526315789474,2.5,-47.628094
-88.10526315789474,5.0,-47.73346
-88.10526315789474,7.5,-47.82269
-88.10526315789474,10.0,-48.148193
-88.10526315789474,12.5,-48.378117
-88.10526315789474,15.0,-48.42139
-88.10526315789474,17.5,-48.46118
-88.10526315789474,20.0,-48.488544
-88.10526315789474,22.5,-48.510876
-88.10526315789474,25.0,-48.52481
-88.10526315789474,27.5,-48.538044
-88.10526315789474,30.0,-48.65677
-88.10526315789474,32.5,-48.801086
-88.10526315789474,35.0,-48.994293
-88.10526315789474,37.5,-49.10728
-88.10526315789474,40.0,-49.434937
-88.10526315789474,42.5,-49.50246
-88.10526315789474,45.0,-49.65437
-88.10526315789474,47.5,-49.883846
-88.10526315789474,50.0,-49.93443
-88.10526315789474,52.5,-50.01079
-88.10526315789474,55.0,-50.106167
-88.10526315789474,57.5,-50.109097
-88.10526315789474,60.0,-50.113148
-88.10526315789474,62.5,-50.125256
-88.10526315789474,65.0,-50.14146
-88.10526315789474,67.5,-50.16099
-88.10526315789474,70.0,-50.17656
-88.10526315789474,72.5,-50.192753
-88.10526315789474,75.0,-50.20946
-88.10526315789474,77.5,-50.23167
-88.10526315789474,80.0,-50.255756
-88.10526315789474,82.5,-50.280415
-88.10526315789474,85.0,-50.30161
-88.10526315789474,87.5,-50.322678
-88.10526315789474,90.0,-50.339794
-88.10526315789474,92.5,-50.35558
-88.10526315789474,95.0,-50.488934
-88.10526315789474,97.5,-50.5385
-88.10526315789474,100.0,-50.5471
-88.10526315789474,102.5,-50.535046
-88.10526315789474,105.0,-50.50432
-88.10526315789474,107.5,-50.444546
-88.10526315789474,110.0,-50.342392
-88.10526315789474,112.5,-50.11854
-88.10526315789474,115.0,-50.003017
-88.10526315789474,117.5,-49.894653
-88.10526315789474,120.0,-49.762127
-88.10526315789474,122.5,-49.61194
-88.10526315789474,125.0,-49.441578
-88.10526315789474,127.5,-49.252148
-88.10526315789474,130.0,-49.04182
-88.10526315789474,132.5,-48.81985
-88.10526315789474,135.0,-48.589447
-88.10526315789474,137.5,-48.372772
-88.10526315789474,140.0,-48.183147
-88.10526315789474,142.5,-47.96826
-88.10526315789474,145.0,-47.76424
-88.10526315789474,147.5,-47.58318
-88.10526315789474,150.0,-47.434845
-88.10526315789474,152.5,-47.34892
-88.10526315789474,155.0,-47.237522
-88.10526315789474,157.5,-46.983624
-88.10526315789474,160.0,-46.800842
-88.10526315789474,162.5,-46.64192
-88.10526315789474,165.0,-46.56545
-88.10526315789474,167.5,-46.512558
